codigo_retorno,min_mm2,max_mm2
SBC-B-25-50/1-AL,25,50
SBC-B-70-120/2-AL,70,120
SBC-B-150-240/2-AL,150,240
SBC-B-120-300/2-AL,120,300
SBC-B-300-400/3-AL,300,400
