codigo_retorno,min_mm,max_mm
LD,19.10,25.00
LE,23.60,26.40
LF,24.90,28.30
LG,26.40,29.90
LH,27.80,31.50
LJ,29.50,33.20
LK,31.00,34.90
LL,32.60,35.40
LM,34.40,38.60
LN,37.70,40.50
LP,38.90,41.70
LQ,40.00,42.80
LR,42.30,45.30
LS,44.60,47.60
LT,46.90,49.90
LU,49.20,52.20
LV,51.40,54.50
