Voltage,S_mm2,Brand,Cable,OD_iso_mm,Conductor_D_nominal_mm,Insulation_thickness_mm
20/35 kV,630,Conduspar,MTX GRID,49.7,29.90,8.8
20/35 kV,50,Conduspar,MTS105 GRID,26.3,8.15,8.2
20/35 kV,70,Conduspar,MTS105 GRID,26.4,9.65,7.5
20/35 kV,95,Conduspar,MTS105 GRID,28.2,11.45,7.5
20/35 kV,120,Conduspar,MTS105 GRID,29.7,12.95,7.5
20/35 kV,150,Conduspar,MTS105 GRID,31.2,14.40,7.5
20/35 kV,185,Conduspar,MTS105 GRID,31.0,16.15,6.5
20/35 kV,240,Conduspar,MTS105 GRID,33.1,18.29,6.5
20/35 kV,300,Conduspar,MTS105 GRID,35.5,20.65,6.5
20/35 kV,400,Conduspar,MTS105 GRID,38.6,23.65,6.5
20/35 kV,500,Conduspar,MTS105 GRID,41.3,26.32,6.5
20/35 kV,630,Conduspar,MTS105 GRID,45.0,29.90,6.5
8.7/15 kV,35,Alubar,Altec,16.95,6.75,4.5
8.7/15 kV,50,Alubar,Altec,18.22,8.02,4.5
8.7/15 kV,70,Alubar,Altec,19.80,9.60,4.5
8.7/15 kV,95,Alubar,Altec,21.70,11.50,4.5
8.7/15 kV,120,Alubar,Altec,23.00,12.80,4.5
8.7/15 kV,150,Alubar,Altec,24.45,14.25,4.5
8.7/15 kV,185,Alubar,Altec,26.25,16.05,4.5
8.7/15 kV,240,Alubar,Altec,28.50,18.30,4.5
8.7/15 kV,300,Alubar,Altec,31.00,20.80,4.5
8.7/15 kV,400,Alubar,Altec,33.80,23.60,4.5
8.7/15 kV,500,Alubar,Altec,36.60,26.40,4.5
12/20 kV,35,Alubar,Altec,18.95,6.75,5.5
12/20 kV,50,Alubar,Altec,20.22,8.02,5.5
12/20 kV,70,Alubar,Altec,21.80,9.60,5.5
12/20 kV,95,Alubar,Altec,23.70,11.50,5.5
12/20 kV,120,Alubar,Altec,25.00,12.80,5.5
12/20 kV,150,Alubar,Altec,26.45,14.25,5.5
12/20 kV,185,Alubar,Altec,28.25,16.05,5.5
12/20 kV,240,Alubar,Altec,30.50,18.30,5.5
12/20 kV,300,Alubar,Altec,33.00,20.80,5.5
12/20 kV,400,Alubar,Altec,35.80,23.60,5.5
12/20 kV,500,Alubar,Altec,38.60,26.40,5.5
15/25 kV,50,Alubar,Altec,22.82,8.02,6.8
15/25 kV,70,Alubar,Altec,24.40,9.60,6.8
15/25 kV,95,Alubar,Altec,26.30,11.50,6.8
15/25 kV,120,Alubar,Altec,27.60,12.80,6.8
15/25 kV,150,Alubar,Altec,29.05,14.25,6.8
15/25 kV,185,Alubar,Altec,30.85,16.05,6.8
15/25 kV,240,Alubar,Altec,33.10,18.30,6.8
15/25 kV,300,Alubar,Altec,35.60,20.80,6.8
15/25 kV,400,Alubar,Altec,38.40,23.60,6.8
15/25 kV,500,Alubar,Altec,41.20,26.40,6.8
20/35 kV,50,Alubar,Altec,26.82,8.02,8.8
20/35 kV,70,Alubar,Altec,28.40,9.60,8.8
20/35 kV,95,Alubar,Altec,30.30,11.50,8.8
20/35 kV,120,Alubar,Altec,31.60,12.80,8.8
20/35 kV,150,Alubar,Altec,33.05,14.25,8.8
20/35 kV,185,Alubar,Altec,34.85,16.05,8.8
20/35 kV,240,Alubar,Altec,37.10,18.30,8.8
20/35 kV,300,Alubar,Altec,39.60,20.80,8.8
20/35 kV,400,Alubar,Altec,42.40,23.60,8.8
20/35 kV,500,Alubar,Altec,45.20,26.40,8.8
8.7/15 kV,25,Alubar,Coppertec,16.2,5.95,4.5
8.7/15 kV,35,Alubar,Coppertec,17.0,6.75,4.5
8.7/15 kV,50,Alubar,Coppertec,18.2,8.02,4.5
8.7/15 kV,70,Alubar,Coppertec,19.8,9.60,4.5
8.7/15 kV,95,Alubar,Coppertec,21.7,11.50,4.5
8.7/15 kV,120,Alubar,Coppertec,23.0,12.80,4.5
8.7/15 kV,150,Alubar,Coppertec,24.5,14.25,4.5
8.7/15 kV,185,Alubar,Coppertec,26.3,16.05,4.5
8.7/15 kV,240,Alubar,Coppertec,28.5,18.30,4.5
8.7/15 kV,300,Alubar,Coppertec,31.0,20.80,4.5
8.7/15 kV,400,Alubar,Coppertec,33.8,23.60,4.5
8.7/15 kV,500,Alubar,Coppertec,36.6,26.40,4.5
12/20 kV,35,Alubar,Coppertec,19.0,6.75,5.5
12/20 kV,50,Alubar,Coppertec,20.2,8.02,5.5
12/20 kV,70,Alubar,Coppertec,21.8,9.60,5.5
12/20 kV,95,Alubar,Coppertec,23.7,11.50,5.5
12/20 kV,120,Alubar,Coppertec,25.0,12.80,5.5
12/20 kV,150,Alubar,Coppertec,26.5,14.25,5.5
12/20 kV,185,Alubar,Coppertec,28.3,16.05,5.5
12/20 kV,240,Alubar,Coppertec,30.5,18.30,5.5
12/20 kV,300,Alubar,Coppertec,33.0,20.80,5.5
12/20 kV,400,Alubar,Coppertec,35.8,23.60,5.5
12/20 kV,500,Alubar,Coppertec,38.6,26.40,5.5
20/35 kV,50,Alubar,Coppertec,26.8,8.02,8.8
20/35 kV,70,Alubar,Coppertec,28.4,9.60,8.8
20/35 kV,95,Alubar,Coppertec,30.3,11.50,8.8
20/35 kV,120,Alubar,Coppertec,31.6,12.80,8.8
20/35 kV,150,Alubar,Coppertec,33.1,14.25,8.8
20/35 kV,185,Alubar,Coppertec,34.9,16.05,8.8
20/35 kV,240,Alubar,Coppertec,37.1,18.30,8.8
20/35 kV,300,Alubar,Coppertec,39.6,20.80,8.8
20/35 kV,400,Alubar,Coppertec,42.4,23.60,8.8
20/35 kV,500,Alubar,Coppertec,45.2,26.40,8.8
