codigo_retorno,min_mm2,max_mm2
SBC-B-25-50/1,25,50
SBC-B-70-95/1,70,95
SBC-B-70-120/2,70,120
SBC-B-150-240/2,150,240
SBC-B-300-400/3,300,400
SBC-B-500/3,500,500
