codigo_retorno,min_mm2,max_mm2
TSBC-B-25-50/1,25,50
TSBC-B-70-120/2,70,120
TSBC-B-150-240/2,150,240
TSBC-B-120-300/2,120,300
TSBC-B-300-400/3,300,400
TSBC-B-500/3,500,500
TSBC-B-500-630/3,500,630
