Voltage Class,Part Number,OD Min (mm),OD Max (mm)
15 kV,15-CSTO-A,13.2,17.0
15 kV,15-CSTO-B,16.8,27.0
15 kV,15-CSTO-C,25.3,50.0
25 kV,25-CSTO-A,15.2,22.4
25 kV,25-CSTO-B,20.4,35.4
25 kV,25-CSTO-C,34.0,60.0
35 kV,35-CSTO-A,18.7,26.0
35 kV,35-CSTO-B,24.9,41.1
35 kV,35-CSTO-C,36.6,59.0
