codigo_retorno,min_mm2,max_mm2
SBC-B-25-95/1,25,95
SBC-B-35-150/2,35,150
SBC-B-70-240/2,70,240
SBC-B-120-300/2,120,300
SBC-B-185-400/3,185,400
SBC-B-300-630/3,300,630
